Crime_ID,Crime_Date,Month,District,Crime_Type,Response_Time_Hours,Action_Taken,Severity_Level,Days,Year,
579,16-Apr-21,April,South East Delhi,Murder,117,Under Investigation,High,4days 21Hours,2021,
580,6-Oct-22,October,South East Delhi,Murder,1,Under Investigation,High,0days 1Hours,2022,
581,12-Feb-23,February,West Delhi,Murder,58,FIR Registered,High,2days 10Hours,2023,
582,27-Dec-23,December,North East Delhi,Murder,1,Accused Arrested,High,0days 1Hours,2023,
583,13-May-22,May,South East Delhi,Theft,111,FIR Registered,Low,4days 15Hours,2022,
584,26-May-20,May,South East Delhi,Robbery,34,FIR Registered,Medium,1days 10Hours,2020,
585,20-Mar-22,March,North East Delhi,Cyber Crime,96,Under Investigation,Medium,4days 0Hours,2022,
586,8-May-23,May,East Delhi,Assault,118,Accused Arrested,Medium,4days 22Hours,2023,
587,26-Feb-20,February,North Delhi,Assault,48,FIR Registered,Medium,2days 0Hours,2020,
588,10-Jul-21,July,North Delhi,Murder,89,FIR Registered,High,3days 17Hours,2021,
589,24-Mar-20,March,South East Delhi,Robbery,104,FIR Registered,Medium,4days 8Hours,2020,
590,10-Apr-19,April,West Delhi,Domestic Violence,109,Under Investigation,Hight,4days 13Hours,2019,
591,13-Feb-21,February,West Delhi,Theft,117,Under Investigation,Low,4days 21Hours,2021,
592,3-Jul-23,July,West Delhi,Robbery,1,Under Investigation,Medium,0days 1Hours,2023,
593,10-Feb-23,February,South East Delhi,Domestic Violence,16,Under Investigation,Hight,0days 16Hours,2023,
594,6-Apr-19,April,Central Delhi,Robbery,61,Accused Arrested,Medium,2days 13Hours,2019,
595,18-Feb-21,February,South East Delhi,Theft,103,FIR Registered,Low,4days 7Hours,2021,
596,2-Mar-21,March,East Delhi,Fraud,64,Accused Arrested,Medium,2days 16Hours,2021,
597,29-Apr-23,April,North East Delhi,Domestic Violence,63,Accused Arrested,Hight,2days 15Hours,2023,
598,5-Oct-23,October,South East Delhi,Domestic Violence,69,Accused Arrested,Hight,2days 21Hours,2023,
599,12-Apr-23,April,Central Delhi,Theft,22,Case Closed,Low,0days 22Hours,2023,
600,2-Dec-20,December,East Delhi,Murder,93,FIR Registered,High,3days 21Hours,2020,
601,5-Aug-20,August,West Delhi,Theft,119,Under Investigation,Low,4days 23Hours,2020,
602,28-Jun-22,June,North West Delhi,Cyber Crime,67,Accused Arrested,Medium,2days 19Hours,2022,
603,17-Oct-20,October,South Delhi,Robbery,76,Accused Arrested,Medium,3days 4Hours,2020,
604,14-Jun-20,June,Central Delhi,Assault,26,Accused Arrested,Medium,1days 2Hours,2020,
605,27-Oct-19,October,East Delhi,Murder,16,Under Investigation,High,0days 16Hours,2019,
606,19-Nov-21,November,East Delhi,Fraud,51,Case Closed,Medium,2days 3Hours,2021,
607,24-Aug-23,August,North East Delhi,Domestic Violence,101,Under Investigation,Hight,4days 5Hours,2023,
608,18-Nov-21,November,North West Delhi,Kidnapping,86,Accused Arrested,High,3days 14Hours,2021,
609,9-Dec-21,December,East Delhi,Cyber Crime,57,FIR Registered,Medium,2days 9Hours,2021,
610,25-Jun-23,June,North East Delhi,Assault,29,FIR Registered,Medium,1days 5Hours,2023,
611,29-Aug-19,August,North East Delhi,Theft,78,Case Closed,Low,3days 6Hours,2019,
612,12-Sep-23,September,West Delhi,Murder,92,FIR Registered,High,3days 20Hours,2023,
613,17-Nov-22,November,South Delhi,Murder,69,Case Closed,High,2days 21Hours,2022,
614,11-Jan-20,January,North East Delhi,Murder,47,Accused Arrested,High,1days 23Hours,2020,
615,24-Sep-19,September,North East Delhi,Theft,113,Accused Arrested,Low,4days 17Hours,2019,
616,6-Mar-23,March,West Delhi,Cyber Crime,94,FIR Registered,Medium,3days 22Hours,2023,
617,21-Jul-22,July,West Delhi,Robbery,110,Accused Arrested,Medium,4days 14Hours,2022,
618,3-Jan-23,January,North West Delhi,Fraud,62,Case Closed,Medium,2days 14Hours,2023,
619,27-Oct-23,October,North East Delhi,Assault,116,Accused Arrested,Medium,4days 20Hours,2023,
620,6-Dec-21,December,North Delhi,Assault,69,Accused Arrested,Medium,2days 21Hours,2021,
621,11-Oct-19,October,East Delhi,Domestic Violence,76,Accused Arrested,Hight,3days 4Hours,2019,
622,11-Nov-22,November,North West Delhi,Robbery,16,FIR Registered,Medium,0days 16Hours,2022,
623,14-Mar-22,March,North Delhi,Cyber Crime,90,Under Investigation,Medium,3days 18Hours,2022,
624,2-Sep-19,September,North West Delhi,Robbery,90,Case Closed,Medium,3days 18Hours,2019,
625,6-Jul-21,July,South Delhi,Cyber Crime,48,FIR Registered,Medium,2days 0Hours,2021,
626,14-Aug-22,August,Central Delhi,Robbery,85,Under Investigation,Medium,3days 13Hours,2022,
627,10-May-21,May,South East Delhi,Assault,39,Accused Arrested,Medium,1days 15Hours,2021,
628,25-May-23,May,North East Delhi,Fraud,100,Case Closed,Medium,4days 4Hours,2023,
629,26-Mar-20,March,North Delhi,Domestic Violence,33,Case Closed,Hight,1days 9Hours,2020,
630,9-Jul-22,July,South East Delhi,Robbery,94,FIR Registered,Medium,3days 22Hours,2022,
631,14-Sep-23,September,North Delhi,Assault,101,FIR Registered,Medium,4days 5Hours,2023,
632,9-Jan-22,January,South Delhi,Fraud,23,FIR Registered,Medium,0days 23Hours,2022,
633,7-Feb-23,February,East Delhi,Theft,10,FIR Registered,Low,0days 10Hours,2023,
634,26-Jan-22,January,South East Delhi,Theft,118,Accused Arrested,Low,4days 22Hours,2022,
635,13-Feb-20,February,Central Delhi,Fraud,69,Accused Arrested,Medium,2days 21Hours,2020,
636,16-Sep-19,September,North Delhi,Fraud,100,Accused Arrested,Medium,4days 4Hours,2019,
637,29-Sep-22,September,East Delhi,Theft,34,Accused Arrested,Low,1days 10Hours,2022,
638,31-Dec-23,December,North West Delhi,Robbery,52,Case Closed,Medium,2days 4Hours,2023,
639,28-Nov-21,November,North Delhi,Cyber Crime,95,FIR Registered,Medium,3days 23Hours,2021,
640,22-Sep-21,September,North East Delhi,Robbery,10,Accused Arrested,Medium,0days 10Hours,2021,
641,11-Mar-23,March,West Delhi,Kidnapping,19,Under Investigation,High,0days 19Hours,2023,
642,4-Jun-22,June,West Delhi,Fraud,58,FIR Registered,Medium,2days 10Hours,2022,
643,16-Jul-21,July,West Delhi,Cyber Crime,96,Case Closed,Medium,4days 0Hours,2021,
644,11-Mar-22,March,North East Delhi,Domestic Violence,1,Under Investigation,Hight,0days 1Hours,2022,
645,5-Apr-19,April,Central Delhi,Cyber Crime,69,No Action,Medium,2days 21Hours,2019,
646,24-May-23,May,West Delhi,Robbery,109,Accused Arrested,Medium,4days 13Hours,2023,
647,27-Feb-19,February,North East Delhi,Assault,4,Accused Arrested,Medium,0days 4Hours,2019,
648,2-Jan-20,January,Central Delhi,Fraud,16,FIR Registered,Medium,0days 16Hours,2020,
649,6-Apr-19,April,North Delhi,Assault,24,FIR Registered,Medium,1days 0Hours,2019,
650,30-Aug-23,August,North East Delhi,Domestic Violence,80,FIR Registered,Hight,3days 8Hours,2023,
651,9-Jan-19,January,North Delhi,Murder,119,Accused Arrested,High,4days 23Hours,2019,
652,2-Oct-22,October,West Delhi,Kidnapping,2,Under Investigation,High,0days 2Hours,2022,
653,24-Jun-22,June,North West Delhi,Fraud,113,Case Closed,Medium,4days 17Hours,2022,
654,17-Oct-20,October,South Delhi,Kidnapping,92,Under Investigation,High,3days 20Hours,2020,
655,26-May-21,May,North Delhi,Theft,32,FIR Registered,Low,1days 8Hours,2021,
656,2-Jul-21,July,North West Delhi,Domestic Violence,91,Accused Arrested,Hight,3days 19Hours,2021,
657,7-Nov-19,November,South Delhi,Cyber Crime,84,FIR Registered,Medium,3days 12Hours,2019,
658,26-Aug-19,August,North East Delhi,Fraud,24,FIR Registered,Medium,1days 0Hours,2019,
659,25-Aug-19,August,North West Delhi,Fraud,12,Under Investigation,Medium,0days 12Hours,2019,
660,20-Apr-21,April,North East Delhi,Theft,50,Accused Arrested,Low,2days 2Hours,2021,
661,8-Jan-23,January,North West Delhi,Robbery,35,Case Closed,Medium,1days 11Hours,2023,
662,29-Apr-22,April,North West Delhi,Assault,33,Under Investigation,Medium,1days 9Hours,2022,
663,8-Mar-21,March,East Delhi,Cyber Crime,33,FIR Registered,Medium,1days 9Hours,2021,
664,11-Nov-20,November,East Delhi,Murder,61,Under Investigation,High,2days 13Hours,2020,
665,17-Sep-20,September,North Delhi,Theft,51,Under Investigation,Low,2days 3Hours,2020,
666,23-Jan-22,January,South East Delhi,Domestic Violence,43,Case Closed,Hight,1days 19Hours,2022,
667,22-Mar-19,March,Central Delhi,Cyber Crime,101,Case Closed,Medium,4days 5Hours,2019,
668,2-Aug-22,August,Central Delhi,Cyber Crime,12,FIR Registered,Medium,0days 12Hours,2022,
669,5-Feb-23,February,East Delhi,Theft,67,Accused Arrested,Low,2days 19Hours,2023,
670,6-Nov-19,November,South Delhi,Assault,65,Accused Arrested,Medium,2days 17Hours,2019,
671,14-Jul-22,July,South East Delhi,Cyber Crime,33,Accused Arrested,Medium,1days 9Hours,2022,
672,25-Jun-22,June,East Delhi,Domestic Violence,40,Accused Arrested,Hight,1days 16Hours,2022,
673,9-Feb-21,February,North Delhi,Murder,74,Case Closed,High,3days 2Hours,2021,
674,20-Feb-20,February,Central Delhi,Kidnapping,43,Under Investigation,High,1days 19Hours,2020,
675,29-Oct-19,October,North Delhi,Fraud,44,Accused Arrested,Medium,1days 20Hours,2019,
676,6-May-21,May,Central Delhi,Theft,29,Under Investigation,Low,1days 5Hours,2021,
677,13-Jun-23,June,North West Delhi,Cyber Crime,13,Case Closed,Medium,0days 13Hours,2023,
678,31-Dec-20,December,North Delhi,Kidnapping,12,Accused Arrested,High,0days 12Hours,2020,
679,3-Dec-19,December,East Delhi,Robbery,95,Case Closed,Medium,3days 23Hours,2019,
680,19-Oct-21,October,South East Delhi,Murder,46,FIR Registered,High,1days 22Hours,2021,
681,7-Jan-20,January,North West Delhi,Domestic Violence,2,Case Closed,Hight,0days 2Hours,2020,
682,2-Nov-21,November,North East Delhi,Kidnapping,115,No Action,High,4days 19Hours,2021,
683,17-Sep-20,September,Central Delhi,Theft,114,FIR Registered,Low,4days 18Hours,2020,
684,4-Oct-23,October,South East Delhi,Assault,35,FIR Registered,Medium,1days 11Hours,2023,
685,29-Aug-19,August,East Delhi,Kidnapping,87,Under Investigation,High,3days 15Hours,2019,
686,13-Feb-21,February,North West Delhi,Kidnapping,81,Under Investigation,High,3days 9Hours,2021,
687,23-Dec-22,December,North Delhi,Murder,90,FIR Registered,High,3days 18Hours,2022,
688,29-Jan-22,January,Central Delhi,Assault,8,Case Closed,Medium,0days 8Hours,2022,
689,7-May-21,May,South Delhi,Theft,93,Accused Arrested,Low,3days 21Hours,2021,
690,5-Nov-19,November,North East Delhi,Fraud,26,Under Investigation,Medium,1days 2Hours,2019,
691,29-Oct-21,October,Central Delhi,Cyber Crime,74,Accused Arrested,Medium,3days 2Hours,2021,
692,20-Nov-20,November,North East Delhi,Robbery,90,Under Investigation,Medium,3days 18Hours,2020,
693,22-Jun-19,June,North East Delhi,Kidnapping,34,Under Investigation,High,1days 10Hours,2019,
694,2-Dec-20,December,Central Delhi,Cyber Crime,115,FIR Registered,Medium,4days 19Hours,2020,
695,16-Apr-19,April,North Delhi,Robbery,105,Under Investigation,Medium,4days 9Hours,2019,
696,1-Jul-21,July,North East Delhi,Murder,7,Accused Arrested,High,0days 7Hours,2021,
697,5-Mar-22,March,South Delhi,Murder,68,No Action,High,2days 20Hours,2022,
698,7-Jul-19,July,East Delhi,Assault,58,Case Closed,Medium,2days 10Hours,2019,
699,5-Jul-20,July,North East Delhi,Robbery,117,No Action,Medium,4days 21Hours,2020,
700,14-Apr-23,April,South East Delhi,Cyber Crime,114,Accused Arrested,Medium,4days 18Hours,2023,
701,11-Sep-23,September,Central Delhi,Theft,109,FIR Registered,Low,4days 13Hours,2023,
702,18-Jul-22,July,East Delhi,Assault,75,No Action,Medium,3days 3Hours,2022,
703,25-Sep-19,September,Central Delhi,Assault,29,FIR Registered,Medium,1days 5Hours,2019,
704,27-May-22,May,Central Delhi,Murder,36,Case Closed,High,1days 12Hours,2022,
705,29-Jan-21,January,Central Delhi,Domestic Violence,89,Under Investigation,Hight,3days 17Hours,2021,
706,17-Sep-19,September,East Delhi,Theft,21,FIR Registered,Low,0days 21Hours,2019,
707,16-Dec-23,December,North Delhi,Domestic Violence,36,Accused Arrested,Hight,1days 12Hours,2023,
708,25-Jan-19,January,South Delhi,Cyber Crime,10,Under Investigation,Medium,0days 10Hours,2019,
709,29-Nov-19,November,North East Delhi,Assault,101,FIR Registered,Medium,4days 5Hours,2019,
710,3-Jul-20,July,South East Delhi,Cyber Crime,73,Under Investigation,Medium,3days 1Hours,2020,
711,18-Nov-19,November,Central Delhi,Robbery,24,Under Investigation,Medium,1days 0Hours,2019,
712,10-Jan-21,January,North West Delhi,Domestic Violence,64,FIR Registered,Hight,2days 16Hours,2021,
713,20-Apr-19,April,South Delhi,Fraud,99,Accused Arrested,Medium,4days 3Hours,2019,
714,2-May-22,May,Central Delhi,Murder,49,Under Investigation,High,2days 1Hours,2022,
715,16-Apr-22,April,North East Delhi,Robbery,99,Case Closed,Medium,4days 3Hours,2022,
716,11-Jul-19,July,North West Delhi,Murder,112,Accused Arrested,High,4days 16Hours,2019,
717,6-Oct-23,October,North West Delhi,Cyber Crime,36,FIR Registered,Medium,1days 12Hours,2023,
718,29-Jul-22,July,North West Delhi,Kidnapping,82,Accused Arrested,High,3days 10Hours,2022,
719,25-Dec-21,December,Central Delhi,Domestic Violence,113,Under Investigation,Hight,4days 17Hours,2021,
720,23-Mar-21,March,North Delhi,Assault,103,Case Closed,Medium,4days 7Hours,2021,
721,14-Nov-20,November,North East Delhi,Kidnapping,96,Under Investigation,High,4days 0Hours,2020,
722,23-Aug-21,August,Central Delhi,Murder,24,Accused Arrested,High,1days 0Hours,2021,
723,12-Oct-22,October,West Delhi,Murder,23,Accused Arrested,High,0days 23Hours,2022,
724,6-Feb-20,February,North East Delhi,Kidnapping,62,FIR Registered,High,2days 14Hours,2020,
725,11-Jan-19,January,East Delhi,Domestic Violence,96,Under Investigation,Hight,4days 0Hours,2019,
726,23-Apr-22,April,Central Delhi,Domestic Violence,37,Under Investigation,Hight,1days 13Hours,2022,
727,11-May-22,May,North Delhi,Robbery,12,Under Investigation,Medium,0days 12Hours,2022,
728,20-Feb-23,February,West Delhi,Robbery,113,Accused Arrested,Medium,4days 17Hours,2023,
729,20-Jan-19,January,North Delhi,Assault,55,Under Investigation,Medium,2days 7Hours,2019,
730,14-Aug-19,August,North West Delhi,Fraud,13,FIR Registered,Medium,0days 13Hours,2019,
731,16-Sep-23,September,South Delhi,Fraud,23,FIR Registered,Medium,0days 23Hours,2023,
732,16-May-21,May,North East Delhi,Cyber Crime,89,Accused Arrested,Medium,3days 17Hours,2021,
733,23-Mar-20,March,West Delhi,Fraud,99,FIR Registered,Medium,4days 3Hours,2020,
734,21-May-19,May,West Delhi,Fraud,105,No Action,Medium,4days 9Hours,2019,
735,19-Jun-19,June,North West Delhi,Cyber Crime,30,Under Investigation,Medium,1days 6Hours,2019,
736,16-Dec-20,December,South East Delhi,Assault,17,Case Closed,Medium,0days 17Hours,2020,
737,6-Feb-22,February,North Delhi,Kidnapping,113,Under Investigation,High,4days 17Hours,2022,
738,21-Oct-22,October,North West Delhi,Murder,62,Accused Arrested,High,2days 14Hours,2022,
739,15-Dec-19,December,North East Delhi,Murder,84,FIR Registered,High,3days 12Hours,2019,
740,25-Apr-20,April,West Delhi,Theft,112,Under Investigation,Low,4days 16Hours,2020,
741,20-May-22,May,North Delhi,Theft,89,FIR Registered,Low,3days 17Hours,2022,
742,29-Mar-23,March,South Delhi,Robbery,86,FIR Registered,Medium,3days 14Hours,2023,
743,25-Feb-19,February,North West Delhi,Cyber Crime,13,Case Closed,Medium,0days 13Hours,2019,
744,19-Dec-22,December,North Delhi,Theft,59,Accused Arrested,Low,2days 11Hours,2022,
745,3-Dec-20,December,North Delhi,Kidnapping,19,FIR Registered,High,0days 19Hours,2020,
746,30-Dec-19,December,West Delhi,Theft,49,FIR Registered,Low,2days 1Hours,2019,
747,26-Jan-22,January,North West Delhi,Domestic Violence,100,No Action,Hight,4days 4Hours,2022,
748,18-Jun-21,June,North Delhi,Cyber Crime,12,Case Closed,Medium,0days 12Hours,2021,
749,3-Aug-21,August,North West Delhi,Domestic Violence,61,Under Investigation,Hight,2days 13Hours,2021,
750,12-Sep-22,September,North West Delhi,Theft,105,Under Investigation,Low,4days 9Hours,2022,
751,23-Nov-19,November,West Delhi,Robbery,19,FIR Registered,Medium,0days 19Hours,2019,
752,13-Mar-23,March,South East Delhi,Cyber Crime,76,FIR Registered,Medium,3days 4Hours,2023,
753,12-Apr-19,April,North Delhi,Assault,9,Under Investigation,Medium,0days 9Hours,2019,
754,28-Sep-21,September,Central Delhi,Kidnapping,71,Accused Arrested,High,2days 23Hours,2021,
755,16-Dec-22,December,Central Delhi,Kidnapping,28,Under Investigation,High,1days 4Hours,2022,
756,5-Jun-20,June,West Delhi,Domestic Violence,78,FIR Registered,Hight,3days 6Hours,2020,
757,31-May-23,May,North Delhi,Fraud,95,Under Investigation,Medium,3days 23Hours,2023,
758,20-Jul-22,July,South East Delhi,Domestic Violence,52,FIR Registered,Hight,2days 4Hours,2022,
759,18-Jan-20,January,East Delhi,Cyber Crime,83,Case Closed,Medium,3days 11Hours,2020,
760,16-Mar-21,March,North East Delhi,Cyber Crime,111,Under Investigation,Medium,4days 15Hours,2021,
761,5-Dec-23,December,Central Delhi,Murder,16,Under Investigation,High,0days 16Hours,2023,
762,4-Jan-23,January,South East Delhi,Assault,117,Under Investigation,Medium,4days 21Hours,2023,
763,6-May-23,May,South East Delhi,Robbery,69,FIR Registered,Medium,2days 21Hours,2023,
764,28-Jul-19,July,Central Delhi,Robbery,99,Case Closed,Medium,4days 3Hours,2019,
765,11-Oct-22,October,East Delhi,Fraud,12,FIR Registered,Medium,0days 12Hours,2022,
766,28-Oct-23,October,North West Delhi,Murder,25,FIR Registered,High,1days 1Hours,2023,
767,7-Jan-20,January,North Delhi,Assault,52,FIR Registered,Medium,2days 4Hours,2020,
768,16-Oct-20,October,North East Delhi,Domestic Violence,85,Under Investigation,Hight,3days 13Hours,2020,
769,8-Feb-19,February,North West Delhi,Domestic Violence,100,Accused Arrested,Hight,4days 4Hours,2019,
770,9-Jun-19,June,East Delhi,Assault,53,Under Investigation,Medium,2days 5Hours,2019,
771,10-Jul-20,July,North East Delhi,Fraud,23,Under Investigation,Medium,0days 23Hours,2020,
772,7-Aug-20,August,North Delhi,Cyber Crime,16,Under Investigation,Medium,0days 16Hours,2020,
773,8-Dec-19,December,North Delhi,Theft,57,Accused Arrested,Low,2days 9Hours,2019,
774,9-Sep-21,September,Central Delhi,Theft,39,Accused Arrested,Low,1days 15Hours,2021,
775,13-Jul-20,July,West Delhi,Robbery,109,Accused Arrested,Medium,4days 13Hours,2020,
776,28-Feb-20,February,South Delhi,Assault,53,Case Closed,Medium,2days 5Hours,2020,
777,22-Feb-20,February,Central Delhi,Domestic Violence,42,No Action,Hight,1days 18Hours,2020,
778,27-Nov-19,November,East Delhi,Assault,58,FIR Registered,Medium,2days 10Hours,2019,
779,30-Mar-20,March,North East Delhi,Domestic Violence,39,Case Closed,Hight,1days 15Hours,2020,
780,30-Jun-22,June,North Delhi,Murder,14,Accused Arrested,High,0days 14Hours,2022,
781,4-Jan-20,January,North East Delhi,Domestic Violence,95,Under Investigation,Hight,3days 23Hours,2020,
782,29-Dec-20,December,East Delhi,Theft,5,Case Closed,Low,0days 5Hours,2020,
783,20-Nov-19,November,North East Delhi,Assault,35,Under Investigation,Medium,1days 11Hours,2019,
784,27-Oct-22,October,East Delhi,Kidnapping,87,No Action,High,3days 15Hours,2022,
785,6-Feb-22,February,West Delhi,Robbery,93,No Action,Medium,3days 21Hours,2022,
786,17-Nov-21,November,South Delhi,Robbery,107,FIR Registered,Medium,4days 11Hours,2021,
787,10-Apr-20,April,Central Delhi,Kidnapping,75,Accused Arrested,High,3days 3Hours,2020,
788,11-Feb-21,February,Central Delhi,Cyber Crime,18,Case Closed,Medium,0days 18Hours,2021,
789,20-Sep-21,September,North West Delhi,Cyber Crime,111,Accused Arrested,Medium,4days 15Hours,2021,
790,11-Aug-21,August,North Delhi,Theft,76,Accused Arrested,Low,3days 4Hours,2021,
791,24-Dec-20,December,West Delhi,Fraud,9,Under Investigation,Medium,0days 9Hours,2020,
792,11-Sep-19,September,North West Delhi,Murder,74,Accused Arrested,High,3days 2Hours,2019,
793,17-Apr-19,April,North Delhi,Cyber Crime,58,Accused Arrested,Medium,2days 10Hours,2019,
794,24-Jan-22,January,West Delhi,Theft,108,Under Investigation,Low,4days 12Hours,2022,
795,30-Dec-19,December,North East Delhi,Kidnapping,17,Accused Arrested,High,0days 17Hours,2019,
796,6-Sep-19,September,North West Delhi,Murder,102,Accused Arrested,High,4days 6Hours,2019,
797,17-Oct-22,October,South Delhi,Domestic Violence,7,Accused Arrested,Hight,0days 7Hours,2022,
798,2-Jun-22,June,South Delhi,Assault,46,Under Investigation,Medium,1days 22Hours,2022,
799,25-Jun-23,June,South Delhi,Fraud,13,FIR Registered,Medium,0days 13Hours,2023,
800,8-Nov-22,November,South Delhi,Domestic Violence,40,FIR Registered,Hight,1days 16Hours,2022,
801,12-Nov-22,November,North West Delhi,Cyber Crime,42,Under Investigation,Medium,1days 18Hours,2022,
802,13-Aug-23,August,South East Delhi,Cyber Crime,9,Accused Arrested,Medium,0days 9Hours,2023,
803,25-Jan-23,January,North East Delhi,Robbery,50,FIR Registered,Medium,2days 2Hours,2023,
804,11-Dec-20,December,Central Delhi,Domestic Violence,27,Case Closed,Hight,1days 3Hours,2020,
805,23-Jan-20,January,West Delhi,Murder,66,Accused Arrested,High,2days 18Hours,2020,
806,12-May-22,May,East Delhi,Robbery,5,Accused Arrested,Medium,0days 5Hours,2022,
807,31-Jul-22,July,West Delhi,Murder,29,Case Closed,High,1days 5Hours,2022,
808,18-May-19,May,South Delhi,Fraud,37,No Action,Medium,1days 13Hours,2019,
809,17-Jan-22,January,South Delhi,Assault,38,Under Investigation,Medium,1days 14Hours,2022,
810,3-Jul-23,July,South East Delhi,Domestic Violence,83,Accused Arrested,Hight,3days 11Hours,2023,
811,14-May-20,May,West Delhi,Cyber Crime,8,FIR Registered,Medium,0days 8Hours,2020,
812,1-Dec-21,December,Central Delhi,Robbery,112,Case Closed,Medium,4days 16Hours,2021,
813,16-Mar-21,March,South East Delhi,Kidnapping,109,Accused Arrested,High,4days 13Hours,2021,
814,3-Jul-19,July,West Delhi,Kidnapping,65,FIR Registered,High,2days 17Hours,2019,
815,12-Oct-19,October,North Delhi,Domestic Violence,86,Accused Arrested,Hight,3days 14Hours,2019,
816,23-May-21,May,North East Delhi,Cyber Crime,116,FIR Registered,Medium,4days 20Hours,2021,
817,6-Mar-20,March,Central Delhi,Domestic Violence,17,Case Closed,Hight,0days 17Hours,2020,
818,18-May-19,May,North West Delhi,Domestic Violence,71,Case Closed,Hight,2days 23Hours,2019,
819,25-Aug-19,August,South East Delhi,Robbery,89,No Action,Medium,3days 17Hours,2019,
820,1-Dec-19,December,North East Delhi,Robbery,45,Case Closed,Medium,1days 21Hours,2019,
821,23-May-22,May,South East Delhi,Assault,4,Under Investigation,Medium,0days 4Hours,2022,
822,12-Apr-20,April,Central Delhi,Kidnapping,36,Under Investigation,High,1days 12Hours,2020,
823,14-Feb-23,February,Central Delhi,Murder,70,FIR Registered,High,2days 22Hours,2023,
824,30-Jul-21,July,South Delhi,Cyber Crime,31,Under Investigation,Medium,1days 7Hours,2021,
825,31-Mar-19,March,East Delhi,Kidnapping,19,FIR Registered,High,0days 19Hours,2019,
826,12-Dec-22,December,North Delhi,Domestic Violence,61,Under Investigation,Hight,2days 13Hours,2022,
827,10-Mar-20,March,West Delhi,Assault,108,Accused Arrested,Medium,4days 12Hours,2020,
828,21-Sep-20,September,South Delhi,Robbery,54,Case Closed,Medium,2days 6Hours,2020,
829,9-Apr-22,April,South Delhi,Robbery,39,Case Closed,Medium,1days 15Hours,2022,
830,17-Apr-21,April,North Delhi,Assault,91,FIR Registered,Medium,3days 19Hours,2021,
831,13-Oct-22,October,South East Delhi,Kidnapping,74,Accused Arrested,High,3days 2Hours,2022,
832,29-Oct-19,October,South Delhi,Assault,90,FIR Registered,Medium,3days 18Hours,2019,
833,17-Jul-22,July,North Delhi,Domestic Violence,19,Accused Arrested,Hight,0days 19Hours,2022,
834,6-Dec-19,December,North West Delhi,Kidnapping,39,Case Closed,High,1days 15Hours,2019,
835,20-Oct-20,October,East Delhi,Domestic Violence,67,No Action,Hight,2days 19Hours,2020,
836,17-Sep-19,September,North Delhi,Murder,45,Case Closed,High,1days 21Hours,2019,
837,28-Jan-21,January,Central Delhi,Robbery,13,Accused Arrested,Medium,0days 13Hours,2021,
838,11-Sep-23,September,West Delhi,Assault,114,No Action,Medium,4days 18Hours,2023,
839,9-Jun-19,June,North West Delhi,Assault,92,Accused Arrested,Medium,3days 20Hours,2019,
840,14-Nov-21,November,South East Delhi,Domestic Violence,58,Under Investigation,Hight,2days 10Hours,2021,
841,15-Jul-23,July,North Delhi,Fraud,20,FIR Registered,Medium,0days 20Hours,2023,
842,1-May-21,May,South East Delhi,Fraud,92,Under Investigation,Medium,3days 20Hours,2021,
843,15-Dec-23,December,East Delhi,Assault,72,Accused Arrested,Medium,3days 0Hours,2023,
844,12-Jul-23,July,Central Delhi,Theft,61,Under Investigation,Low,2days 13Hours,2023,
845,26-Jul-20,July,North East Delhi,Robbery,105,Under Investigation,Medium,4days 9Hours,2020,
846,9-Jun-22,June,North Delhi,Assault,39,Case Closed,Medium,1days 15Hours,2022,
847,28-Mar-22,March,Central Delhi,Robbery,1,Under Investigation,Medium,0days 1Hours,2022,
848,4-Jul-20,July,North Delhi,Domestic Violence,3,FIR Registered,Hight,0days 3Hours,2020,
849,22-Dec-23,December,North Delhi,Cyber Crime,77,Case Closed,Medium,3days 5Hours,2023,
850,27-Mar-23,March,South East Delhi,Fraud,92,Case Closed,Medium,3days 20Hours,2023,
851,20-Nov-21,November,Central Delhi,Theft,62,Accused Arrested,Low,2days 14Hours,2021,
852,24-Feb-21,February,North Delhi,Kidnapping,63,FIR Registered,High,2days 15Hours,2021,
853,17-Sep-21,September,North Delhi,Robbery,113,Case Closed,Medium,4days 17Hours,2021,
854,6-Jan-22,January,North East Delhi,Domestic Violence,25,Under Investigation,Hight,1days 1Hours,2022,
855,19-Sep-22,September,North Delhi,Assault,56,Accused Arrested,Medium,2days 8Hours,2022,
856,2-Mar-19,March,North West Delhi,Fraud,33,Accused Arrested,Medium,1days 9Hours,2019,
857,13-Jun-19,June,South Delhi,Robbery,38,Under Investigation,Medium,1days 14Hours,2019,
858,23-Jan-20,January,North Delhi,Domestic Violence,117,Under Investigation,Hight,4days 21Hours,2020,
859,27-Dec-23,December,North East Delhi,Domestic Violence,6,Accused Arrested,Hight,0days 6Hours,2023,
860,27-Dec-21,December,North Delhi,Fraud,58,Under Investigation,Medium,2days 10Hours,2021,
861,6-Jan-19,January,Central Delhi,Assault,44,FIR Registered,Medium,1days 20Hours,2019,
862,13-Feb-20,February,North East Delhi,Cyber Crime,45,Accused Arrested,Medium,1days 21Hours,2020,
863,24-Sep-19,September,Central Delhi,Kidnapping,32,Case Closed,High,1days 8Hours,2019,
864,27-Mar-19,March,South Delhi,Theft,45,Accused Arrested,Low,1days 21Hours,2019,
865,4-Jan-21,January,North West Delhi,Assault,61,FIR Registered,Medium,2days 13Hours,2021,
